¹	D7 D6 D5 D4 D3 D2 D1 D0 HEX
0	1  0  1  1  1  1  0  0  0xBC
1	1  1  1  0  1  0  0  0  0xE8
2	0  0  1  0  0  0  1  1  0x23
3	1  1  1  1  0  1  0  0  0xF4
4	0  1  1  0  0  1  0  0  0x64
5	0  1  0  1  1  1  0  1  0x5D
6	0  0  1  0  0  0  1  1  0x23
7	1  1  0  1  1  1  1  1  0xDF
8	1  0  1  1  0  1  0  1  0xB5
9	1  1  0  0  0  0  0  1  0xC1
10	0  1  1  0  1  0  1  0  0x6A
11	1  0  1  1  0  0  1  1  0xB3
12	0  0  0  1  1  1  1  0  0x1E
13	1  1  1  0  1  1  0  1  0xED
14	1  1  1  0  1  0  0  0  0xE8
15	0  1  0  1  1  0  0  1  0x59
16	1  1  1  1  0  1  1  1  0xF7
17	1  0  1  0  1  1  1  0  0xAE
18	0  0  0  0  1  0  0  0  0x08
19	1  1  0  0  0  0  0  0  0xC0
20	1  1  1  1  0  1  1  0  0xF6
21	0  1  1  1  0  1  1  0  0x76
22	0  1  0  0  1  1  0  1  0x4D
23	0  0  1  0  0  1  1  0  0x26
24	1  1  1  0  1  1  1  1  0xEF
25	0  1  0  0  0  1  0  0  0x44
26	0  0  1  0  1  0  1  1  0x2B
27	1  0  1  0  0  1  1  0  0xA6
28	1  1  0  1  0  0  0  0  0xD0
29	1  1  0  1  0  0  0  1  0xD1
30	0  0  1  0  1  0  0  0  0x28
31	0  0  0  0  0  0  1  1  0x03
32	1  1  0  1  1  1  0  0  0xDC
33	1  1  1  1  1  1  0  0  0xFC
34	0  0  1  1  0  0  1  1  0x33
35	1  0  1  1  0  0  1  1  0xB3
36	0  0  1  0  1  0  0  0  0x28
37	0  1  1  1  0  1  1  1  0x77
38	0  1  0  0  0  1  0  0  0x44
39	0  0  1  0  1  1  1  1  0x2F
40	0  1  0  1  0  0  1  1  0x53
41	1  0  1  1  0  0  1  1  0xB3
42	0  0  1  1  0  1  1  0  0x36
43	0  1  1  1  1  0  1  0  0x7A
44	1  0  0  0  1  0  0  1  0x89
45	0  0  0  0  1  0  1  0  0x0A
46	1  1  1  0  0  0  0  1  0xE1
47	1  1  1  1  0  0  0  0  0xF0
48	1  0  1  1  1  0  1  1  0xBB
49	0  0  1  0  1  1  0  0  0x2C
50	0  1  1  1  1  1  0  0  0x7C
51	0  1  0  1  0  0  0  1  0x51
52	0  0  0  1  1  0  0  0  0x18
53	1  1  0  0  1  1  0  0  0xCC
54	0  0  1  1  0  0  0  1  0x31
55	0  0  0  0  1  1  0  1  0x0D
56	1  1  0  0  1  1  1  1  0xCF
57	1  0  0  0  1  0  1  1  0x8B
58	0  0  0  0  0  0  1  0  0x02
59	1  1  0  1  0  0  1  0  0xD2
60	0  0  0  0  1  0  0  1  0x09
61	0  0  1  0  0  1  0  0  0x24
62	1  1  0  1  1  0  1  1  0xDB
63	0  1  0  1  0  1  0  0  0x54
64	0  0  1  0  0  0  0  1  0x21
65	1  1  0  1  1  0  1  0  0xDA
66	1  1  1  1  1  0  0  0  0xF8
67	0  1  0  1  1  1  0  0  0x5C
68	0  0  1  0  0  1  1  0  0x26
69	0  0  0  1  1  1  1  1  0x1F
70	0  1  1  1  1  0  1  0  0x7A
71	0  0  0  1  0  1  0  0  0x14
72	1  0  0  1  0  0  1  1  0x93
73	1  0  0  0  0  1  1  0  0x86
74	0  1  0  0  0  1  0  1  0x45
75	1  0  0  1  0  0  0  1  0x91
76	0  1  0  0  1  1  0  1  0x4D
77	1  1  1  0  1  0  1  1  0xEB
78	0  0  0  1  1  1  0  1  0x1D
79	1  0  1  0  0  0  1  0  0xA2
80	1  1  0  1  1  1  1  0  0xDE
81	1  1  1  0  0  0  0  0  0xE0
82	0  0  0  0  0  0  0  1  0x01
83	1  1  0  1  1  0  0  0  0xD8
84	1  1  1  1  0  0  0  1  0xF1
85	0  1  0  1  1  0  1  1  0x5B
